"Nome da cidade","APP","Altitude Superior 1800","Consolidada","Declividade Maior 45","Imoveis","Pousio","Topo de Morro","Banhado","Borda Chapada","Hidrografia","Manguezal","Nascentes","Reserva Legal","Restinga","Servidão Administrativa","Restrito","Vegetação Nativa","Vereda"
"Belo Vale","4489","0","844","3","1055","47","2","3","0","948","0","412","859","0","99","0","904","24"
"Betim","2664","0","466","2","741","9","1","3","0","436","0","247","0","0","0","3","637","4"
"Bonfim","6133","0","1749","1","2064","41","1","0","0","1291","0","383","1650","0","413","29","1507","30"
"Brumadinho","7419","0","787","15","1177","44","8","1","0","965","0","726","1025","1","191","23","949","31"
"Cahoeira da Prata","330","0","67","0","61","1","0","1","0","61","0","28","86","0","12","0","113","0"
"Caetanopolis","531","0","170","0","239","0","0","0","0","166","0","9","235","0","38","0","248","2"
"Casa Grande","3617","0","696","14","585","11","0","25","5","704","0","326","776","0","117","30","692","5"
"Congonhas","2751","0","317","2","554","21","1","12","0","433","0","336","446","0","129","13","410","4"
"Conselheiro Lafaiete","5394","0","999","5","1012","29","0","60","0","1055","0","474","1130","0","104","5","1087","10"
"Contagem","625","0","220","5","491","7","2","1","0","159","0","29","363","0","42","4","278","0"
"Cristiano Otoni","2705","0","331","2","362","6","1","16","0","421","0","226","402","0","93","5","356","42"
"Crucilândia","4735","0","1013","1","1074","11","0","0","0","924","0","347","1261","0","240","327","1162","3"
"Curvelo","8421","0","1760","1","2002","62","2","2","0","1431","1","231","1908","58","228","8","1799","21"
"Desterro de Entre Rios","8224","0","1491","2","1506","47","3","3","1","1419","0","737","1569","0","263","92","1723","23"
"Entre Rios de Minas","10266","0","1503","4","1533","97","2","12","0","1616","0","982","1601","0","300","54","1559","3"
"Esmeraldas","8327","0","1523","0","1925","41","17","30","0","1489","0","358","1742","0","336","23","1759","10"
"Felixlândia","3956","1","882","5","890","49","11","5","2","630","0","69","1070","2","95","16","943","41"
"Florestal","2302","0","487","3","564","8","0","1","0","517","0","115","533","0","45","8","597","0"
