"Nome do Municipio","APP",Manguezal
"Belo Vale","4489",0
"Betim","2664",0
"Bonfim","6133",0
"Brumadinho","7419",0
"Cachoeira da Prata","330",0
"Caetanopolis","531",0
"Casa Grande","3617",0
"Congonhas","2751",0
"Conselheiro Lafaiete","5394",0
"Contagem","625",0
"Cristiano Otoni","2705",0
"Crucilândia","4735",0
"Curvelo","8421",1
"Desterro de Entre Rios","8224",0
"Entre Rios de Minas","10266",0
"Esmeraldas","8327",0
"Felixlândia","3956",0
"Florestal","2302",0
"Fortuna de Minas","1143",0
"Ibirité","262",0
"Igarapé","1057",0
"Inhaúma","1488",0
"Itatiaiuçu","3850",0
"Itaúna","5460",0
"Itaverava","4548",0
"Jeceaba","5067",0
"Juatuba","533",0
"Lagoa Dourada","7159",0
"Maravilhas","1532",0
"Mario Campos","321",0
"Mateus Lemes","2503",0
"Moeda","2308",0
"Ouro Branco","4652",0
"Ouro Preto","9458",0
"Papagaios","821",0
"Pará de Minas","6765",0
"Paraopeba","2738",0
"Pequi","1847",0
"Piedade dos Gerais","4361",0
"Pompéu","5250",0
"Queluzito","3659",0
"Resende Costa","15142",0
"Rio Manso","4528",0
"São Brás do Suaçuí","1859",0
"São Joaquim de Bicas","617",0
"São José da Varginha","2411",0
"Sarzedo","545",0
"Sete Lagoas","2583",0
