Agrupamento,Média,Cidades
0,0.0,['São Joaquim de Bicas']
1,0.0,['Ouro Preto']
2,0.0,['Felixlândia']
3,0.0,['Resende Costa']
4,0.0,['Brumadinho']
5,0.0,['Moeda']
6,0.0,['Itaúna']
7,0.0,['Curvelo']
8,0.0,['Crucilândia']
9,0.0,['Maravilhas']
10,0.0,['Entre Rios de Minas']
11,0.0,['Betim']
12,0.0,['Igarapé']
13,0.0,['Pará de Minas']
14,0.0,['Mario Campos']
15,0.0,['Bonfim']
16,0.0,['São Brás do Suaçuí']
17,0.0,['Queluzito']
18,0.0,['Belo Vale']
19,0.0,['Jeceaba']
20,0.0,['Lagoa Dourada']
21,0.0,['Papagaios']
22,0.0,['Piedade dos Gerais']
23,0.0,['Desterro de Entre Rios']
24,0.0,['Pompéu']
25,0.0,['Mateus Lemes']
26,0.0,['Itatiaiuçu']
27,0.0,['Sarzedo']
28,0.0,['Congonhas']
29,0.0,['Esmeraldas']
30,0.0,['São José da Varginha']
31,0.0,['Ouro Branco']
32,0.0,['Fortuna de Minas']
33,0.0,['Ibirité']
34,0.0,['Sete Lagoas']
35,0.0,['Conselheiro Lafaiete']
36,0.0,['Rio Manso']
37,0.0,['Inhaúma']
38,0.0,['Cristiano Otoni']
39,0.0,['Casa Grande']
40,0.0,['Itaverava']
41,0.0,['Juatiba']
42,0.0,['Paraopeba']
43,0.0,['Pequi']
44,0.0,['Cachoeira da Prata']
45,0.0,['Contagem']
46,0.0,['Florestal']
47,0.0,['Caetanopolis']
