"Nome do Municipio","Localizacao","APP","Altitude Superior 1800","Consolidada","Declividade Maior 45","Imoveis","Pousio","Topo de Morro","Banhado","Borda Chapada","Hidrografia","Manguezal","Nascentes","Reserva Legal","Restinga","Servidão Administrativa","Restrito","Vegetação Nativa","Vereda"

"Belo Vale","[-20.4375747,-44.0579882]","4489","0","844","3","1055","47","2","3","0","948","0","412","859","0","99","0","904","24"
"Betim","[-19.9673078,-44.2011904]","2664","0","446","2","741","9","1","3","0","436","0","247","586","0","57","3","637","4"
"Bonfim","[-20.3142689,-44.20997910000001]","6133","0","1749","1","2064","41","1","0","0","1291","0","383","1650","0","413","29","1507","30"
"Brumadinho","[-20.1514752,-44.2010719]","7419","0","787","15","1177","44","8","1","0","965","0","726","1025","1","191","23","949","31"
"Cachoeira da Prata","[-19.5235616,-44.4563046]","330","0","67","0","61","1","0","1","0","61","0","28","86","0","12","0","113","0"
"Caetanopolis","[-19.3323588,44.4181786]","531","0","170","0","239","0","0","0","0","166","0","9","235","0","38","0","248","2"
"Casa Grande","[-20.8380202,-43.92460090000001]","3617","0","696","14","585","11","0","25","5","704","0","326","776","0","117","30","692","5"
"Congonhas","[-20.4993469,-43.8613566]","2751","0","317","2","554","21","1","12","0","433","0","336","446","0","129","13","410","4"
"Conselheiro Lafaiete","[-20.6639305,43.7850227]","5394","0","999","5","1012","29","0","60","0","1055","0","474","1130","0","104","5","1087","10"
"Contagem","[-19.9161508,-44.0808763]","625","0","220","5","491","7","2","1","0","159","0","29","363","0","42","4","278","0"
"Cristiano Otoni","[-20.8249342,-43.8124157]","2705","0","331","2","362","6","1","16","0","421","0","226","402","0","93","5","356","42"
